Device Name,Date (dd/mm/yyyy),Time (24hrs),Average RMS Current (A),Peak RMS Current (A)
MCMD 01,8/2/2021,14:40:53,95,156
MCMD 01,8/2/2021,14:40:54,95,156
MCMD 01,8/2/2021,14:40:55,95,156
MCMD 01,8/2/2021,14:40:56,95,156
MCMD 01,8/2/2021,14:40:57,95,156
MCMD 01,8/2/2021,14:40:58,95,156
MCMD 01,8/2/2021,14:40:59,95,156
MCMD 01,8/2/2021,14:41:00,95,156
MCMD 01,8/2/2021,14:41:01,95,156
MCMD 01,8/2/2021,14:41:02,95,156
MCMD 01,8/2/2021,14:41:03,95,156
MCMD 01,8/2/2021,14:41:04,95,156
MCMD 01,8/2/2021,14:41:05,95,156
MCMD 01,8/2/2021,14:41:06,95,156
MCMD 01,8/2/2021,14:41:07,95,156
MCMD 01,8/2/2021,14:41:08,95,156
MCMD 01,8/2/2021,14:41:09,95,156
MCMD 01,8/2/2021,14:41:10,95,156
MCMD 01,8/2/2021,14:41:12,95,156
MCMD 01,8/2/2021,14:41:13,95,156
MCMD 01,8/2/2021,14:41:14,95,156
MCMD 01,8/2/2021,14:41:15,95,156
MCMD 01,8/2/2021,14:41:16,95,156
MCMD 01,8/2/2021,14:41:17,95,156
MCMD 01,8/2/2021,14:41:18,95,156
MCMD 01,8/2/2021,14:41:19,95,156
MCMD 01,8/2/2021,14:41:20,95,156
MCMD 01,8/2/2021,14:41:21,95,156
MCMD 01,8/2/2021,14:41:22,95,156
MCMD 01,8/2/2021,14:41:23,95,156
MCMD 01,8/2/2021,14:41:24,95,156
MCMD 01,8/2/2021,14:41:25,95,156
MCMD 01,8/2/2021,14:41:26,95,156
MCMD 01,8/2/2021,14:41:27,95,156
MCMD 01,8/2/2021,14:41:28,95,156
MCMD 01,8/2/2021,14:41:29,95,156
MCMD 01,8/2/2021,14:41:30,95,156
MCMD 01,8/2/2021,14:41:31,95,156
MCMD 01,8/2/2021,14:41:32,95,156
MCMD 01,8/2/2021,14:41:33,95,156
MCMD 01,8/2/2021,14:41:34,95,156
MCMD 01,8/2/2021,14:41:35,95,156
MCMD 01,8/2/2021,14:41:36,95,156
MCMD 01,8/2/2021,14:41:37,95,156
MCMD 01,8/2/2021,14:41:38,95,156
MCMD 01,8/2/2021,14:41:39,95,156
MCMD 01,8/2/2021,14:41:40,95,156
MCMD 01,8/2/2021,14:41:41,95,156
MCMD 01,8/2/2021,14:41:42,95,156
MCMD 01,8/2/2021,14:41:43,95,156
MCMD 01,8/2/2021,14:34:05,833.4,1002
MCMD 01,8/2/2021,14:34:10,95,156
MCMD 01,8/2/2021,14:34:11,95,156
MCMD 01,8/2/2021,14:34:12,95,156
MCMD 01,8/2/2021,14:34:13,95,156
MCMD 01,8/2/2021,14:34:14,95,156
MCMD 01,8/2/2021,14:34:15,95,156
MCMD 01,8/2/2021,14:34:16,95,156
MCMD 01,8/2/2021,14:34:17,95,156
MCMD 01,8/2/2021,14:34:18,95,156
MCMD 01,8/2/2021,14:34:19,95,156
MCMD 01,8/2/2021,14:34:20,95,156
MCMD 01,8/2/2021,14:34:21,95,156
MCMD 01,8/2/2021,14:34:22,95,156
MCMD 01,8/2/2021,14:34:23,95,156
MCMD 01,8/2/2021,14:34:24,95,156
MCMD 01,8/2/2021,14:34:25,95,156
MCMD 01,8/2/2021,14:34:26,95,156
MCMD 01,8/2/2021,14:34:27,95,156
MCMD 01,8/2/2021,14:34:28,95,156
MCMD 01,8/2/2021,14:34:29,95,156
MCMD 01,8/2/2021,14:34:31,95,156
MCMD 01,8/2/2021,14:34:32,95,156
MCMD 01,8/2/2021,14:34:33,95,156
MCMD 01,8/2/2021,14:34:34,95,156
MCMD 01,8/2/2021,14:34:35,95,156
MCMD 01,8/2/2021,14:34:36,95,156
MCMD 01,8/2/2021,14:34:37,95,156
MCMD 01,8/2/2021,14:34:38,95,156
MCMD 01,8/2/2021,14:34:39,95,156
MCMD 01,8/2/2021,14:34:40,95,156
MCMD 01,8/2/2021,14:34:41,95,156
MCMD 01,8/2/2021,14:34:42,95,156
MCMD 01,8/2/2021,14:34:43,95,156
MCMD 01,8/2/2021,14:34:44,95,156
MCMD 01,8/2/2021,14:34:45,95,156
MCMD 01,8/2/2021,14:34:46,95,156
MCMD 01,8/2/2021,14:34:47,95,156
MCMD 01,8/2/2021,14:34:48,95,156
MCMD 01,8/2/2021,14:34:49,95,156
MCMD 01,8/2/2021,14:34:50,95,156
MCMD 01,8/2/2021,14:34:51,95,156
MCMD 01,8/2/2021,14:34:52,95,156
MCMD 01,8/2/2021,14:34:53,95,156
MCMD 01,8/2/2021,14:34:54,95,156
MCMD 01,8/2/2021,14:34:55,95,156
MCMD 01,8/2/2021,14:34:56,95,156
MCMD 01,8/2/2021,14:34:57,95,156
MCMD 01,8/2/2021,14:34:58,95,156
MCMD 01,8/2/2021,14:34:59,95,156
MCMD 01,8/2/2021,14:35:00,95,156
MCMD 01,8/2/2021,14:35:01,95,156
MCMD 01,8/2/2021,14:35:02,95,156
MCMD 01,8/2/2021,14:35:03,95,156
MCMD 01,8/2/2021,14:35:04,95,156
MCMD 01,8/2/2021,14:35:05,95,156
MCMD 01,8/2/2021,14:35:06,95,156
MCMD 01,8/2/2021,14:35:07,95,156
MCMD 01,8/2/2021,14:35:08,95,156
MCMD 01,8/2/2021,14:35:09,95,156
MCMD 01,8/2/2021,14:35:10,95,156
MCMD 01,8/2/2021,14:35:11,95,156
MCMD 01,8/2/2021,14:35:12,95,156
MCMD 01,8/2/2021,14:35:13,95,156
MCMD 01,8/2/2021,14:35:14,95,156
MCMD 01,8/2/2021,14:35:15,95,156
MCMD 01,8/2/2021,14:35:16,95,156
MCMD 01,8/2/2021,14:35:17,95,156
MCMD 01,8/2/2021,14:35:19,95,156
MCMD 01,8/2/2021,14:35:20,95,156
MCMD 01,8/2/2021,14:35:21,95,156
MCMD 01,8/2/2021,14:35:22,95,156
MCMD 01,8/2/2021,14:35:23,95,156
MCMD 01,8/2/2021,14:35:24,95,156
MCMD 01,8/2/2021,14:35:25,95,156
MCMD 01,8/2/2021,14:35:26,95,156
MCMD 01,8/2/2021,14:35:27,95,156
MCMD 01,8/2/2021,14:35:28,95,156
MCMD 01,8/2/2021,14:35:29,95,156
MCMD 01,8/2/2021,14:35:30,95,156
MCMD 01,8/2/2021,14:35:31,95,156
MCMD 01,8/2/2021,14:35:32,95,156
MCMD 01,8/2/2021,14:35:33,95,156
MCMD 01,8/2/2021,14:35:34,95,156
MCMD 01,8/2/2021,14:35:35,95,156
MCMD 01,8/2/2021,14:35:36,95,156
MCMD 01,8/2/2021,14:35:37,95,156
MCMD 01,8/2/2021,14:35:38,95,156
MCMD 01,8/2/2021,14:35:39,95,156
MCMD 01,8/2/2021,14:35:40,95,156
MCMD 01,8/2/2021,14:35:41,95,156
MCMD 01,8/2/2021,14:35:42,95,156
MCMD 01,8/2/2021,14:35:43,95,156
MCMD 01,8/2/2021,14:35:44,95,156
MCMD 01,8/2/2021,14:35:45,95,156
MCMD 01,8/2/2021,14:35:46,95,156
MCMD 01,8/2/2021,14:35:47,95,156
MCMD 01,8/2/2021,14:35:48,95,156
MCMD 01,8/2/2021,14:35:49,95,156
MCMD 01,8/2/2021,14:35:50,95,156
MCMD 01,8/2/2021,14:35:51,95,156
MCMD 01,8/2/2021,14:35:52,95,156
MCMD 01,8/2/2021,14:35:53,95,156
MCMD 01,8/2/2021,14:35:54,95,156
MCMD 01,8/2/2021,14:35:55,95,156
MCMD 01,8/2/2021,14:35:56,95,156
MCMD 01,8/2/2021,14:35:57,95,156
MCMD 01,8/2/2021,14:35:58,95,156
MCMD 01,8/2/2021,14:35:59,95,156
MCMD 01,8/2/2021,14:36:00,95,156
MCMD 01,8/2/2021,14:36:01,95,156
MCMD 01,8/2/2021,14:36:02,95,156
MCMD 01,8/2/2021,14:36:03,95,156
MCMD 01,8/2/2021,14:36:04,95,156
MCMD 01,8/2/2021,14:36:06,95,156
MCMD 01,8/2/2021,14:36:07,95,156
MCMD 01,8/2/2021,14:36:08,95,156
MCMD 01,8/2/2021,14:36:09,95,156
MCMD 01,8/2/2021,14:36:10,95,156
MCMD 01,8/2/2021,14:36:11,95,156
MCMD 01,8/2/2021,14:36:12,95,156
MCMD 01,8/2/2021,14:36:13,95,156
MCMD 01,8/2/2021,14:36:14,95,156
MCMD 01,8/2/2021,14:36:15,95,156
MCMD 01,8/2/2021,14:36:16,95,156
MCMD 01,8/2/2021,14:36:17,95,156
MCMD 01,8/2/2021,14:36:18,95,156
MCMD 01,8/2/2021,14:36:19,95,156
MCMD 01,8/2/2021,14:36:20,95,156
MCMD 01,8/2/2021,14:36:21,95,156
MCMD 01,8/2/2021,14:36:22,95,156
MCMD 01,8/2/2021,14:36:23,95,156
MCMD 01,8/2/2021,14:36:24,95,156
MCMD 01,8/2/2021,14:36:25,95,156
MCMD 01,8/2/2021,14:36:26,95,156
MCMD 01,8/2/2021,14:36:27,95,156
MCMD 01,8/2/2021,14:36:28,95,156
MCMD 01,8/2/2021,14:36:29,95,156
MCMD 01,8/2/2021,14:36:30,95,156
MCMD 01,8/2/2021,14:36:31,95,156
MCMD 01,8/2/2021,14:36:32,95,156
MCMD 01,8/2/2021,14:36:33,95,156
MCMD 01,8/2/2021,14:36:34,95,156
MCMD 01,8/2/2021,14:36:35,95,156
MCMD 01,8/2/2021,14:36:36,95,156
MCMD 01,8/2/2021,14:36:37,95,156
MCMD 01,8/2/2021,14:36:38,95,156
MCMD 01,8/2/2021,14:36:39,95,156
MCMD 01,8/2/2021,14:36:40,95,156
MCMD 01,8/2/2021,14:36:41,95,156
MCMD 01,8/2/2021,14:36:42,95,156
MCMD 01,8/2/2021,14:36:43,95,156
MCMD 01,8/2/2021,14:36:44,95,156
MCMD 01,8/2/2021,14:36:45,95,156
MCMD 01,8/2/2021,14:36:46,95,156
MCMD 01,8/2/2021,14:36:47,95,156
MCMD 01,8/2/2021,14:36:48,95,156
MCMD 01,8/2/2021,14:36:49,95,156
MCMD 01,8/2/2021,14:36:50,95,156
MCMD 01,8/2/2021,14:36:51,95,156
MCMD 01,8/2/2021,14:36:52,95,156
MCMD 01,8/2/2021,14:36:53,95,156
MCMD 01,8/2/2021,14:36:54,95,156
MCMD 01,8/2/2021,14:36:55,95,156
MCMD 01,8/2/2021,14:36:56,95,156
MCMD 01,8/2/2021,14:36:57,95,156
MCMD 01,8/2/2021,14:36:58,95,156
MCMD 01,8/2/2021,14:36:59,95,156
MCMD 01,8/2/2021,14:37:00,95,156
MCMD 01,8/2/2021,14:37:01,95,156
MCMD 01,8/2/2021,14:37:03,95,156
MCMD 01,8/2/2021,14:37:04,95,156
MCMD 01,8/2/2021,14:37:05,95,156
MCMD 01,8/2/2021,14:37:06,95,156
MCMD 01,8/2/2021,14:37:07,95,156
MCMD 01,8/2/2021,14:37:08,95,156
MCMD 01,8/2/2021,14:37:09,95,156
MCMD 01,8/2/2021,14:37:10,95,156
MCMD 01,8/2/2021,14:37:11,95,156
MCMD 01,8/2/2021,14:37:12,95,156
MCMD 01,8/2/2021,14:37:13,95,156
MCMD 01,8/2/2021,14:37:14,95,156
MCMD 01,8/2/2021,14:37:15,95,156
MCMD 01,8/2/2021,14:37:16,95,156
MCMD 01,8/2/2021,14:37:17,95,156
MCMD 01,8/2/2021,14:37:18,95,156
MCMD 01,8/2/2021,14:37:19,95,156
MCMD 01,8/2/2021,14:37:20,95,156
MCMD 01,8/2/2021,14:37:21,95,156
MCMD 01,8/2/2021,14:37:22,95,156
MCMD 01,8/2/2021,14:37:23,95,156
MCMD 01,8/2/2021,14:37:24,95,156
MCMD 01,8/2/2021,14:37:25,95,156
MCMD 01,8/2/2021,14:37:26,95,156
MCMD 01,8/2/2021,14:37:27,95,156
MCMD 01,8/2/2021,14:37:28,95,156
MCMD 01,8/2/2021,14:37:29,95,156
MCMD 01,8/2/2021,14:37:30,95,156
MCMD 01,8/2/2021,14:37:31,95,156
MCMD 01,8/2/2021,14:37:32,95,156
MCMD 01,8/2/2021,14:37:33,95,156
MCMD 01,8/2/2021,14:37:34,95,156
MCMD 01,8/2/2021,14:37:35,95,156
MCMD 01,8/2/2021,14:37:36,95,156
MCMD 01,8/2/2021,14:37:37,95,156
MCMD 01,8/2/2021,14:37:38,95,156
MCMD 01,8/2/2021,14:37:39,95,156
MCMD 01,8/2/2021,14:37:40,95,156
MCMD 01,8/2/2021,14:37:41,95,156
MCMD 01,8/2/2021,14:37:43,95,156
MCMD 01,8/2/2021,14:37:44,95,156
MCMD 01,8/2/2021,14:37:45,95,156
MCMD 01,8/2/2021,14:37:46,95,156
MCMD 01,8/2/2021,14:37:47,95,156
MCMD 01,8/2/2021,14:37:48,95,156
MCMD 01,8/2/2021,14:37:49,95,156
MCMD 01,8/2/2021,14:37:50,95,156
MCMD 01,8/2/2021,14:37:51,95,156
MCMD 01,8/2/2021,14:37:52,95,156
MCMD 01,8/2/2021,14:37:53,95,156
MCMD 01,8/2/2021,14:37:54,95,156
MCMD 01,8/2/2021,14:37:55,95,156
MCMD 01,8/2/2021,14:37:56,95,156
MCMD 01,8/2/2021,14:37:57,95,156
MCMD 01,8/2/2021,14:37:58,95,156
MCMD 01,8/2/2021,14:37:59,95,156
MCMD 01,8/2/2021,14:38:00,95,156
MCMD 01,8/2/2021,14:38:01,95,156
MCMD 01,8/2/2021,14:38:02,95,156
MCMD 01,8/2/2021,14:38:03,95,156
MCMD 01,8/2/2021,14:38:04,95,156
MCMD 01,8/2/2021,14:38:05,95,156
